"","title","Hierarchy","Occupation.type","Employment.2016","Employment.2026","ChgEmploy.2016to26.Num","ChgEmploy.2016to26.Perc","Percent.self.employed..2016","Occupational.openings..2016.26.annual.average","Median.annual.wage..2017.1.","Typical.education.needed.for.entry","Work.experience.in.a.related.occupation","Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation","ttl","Level0","Level4","Level3","Level2","Level1","pathString"
"362","Dancers & choreographers",3,"Summary","20.4","21.2","0.8",4,26.7,"2.8","$35,680 ",NA,NA,NA,"Dancers & choreographers","Jobs","Umpires, referees, etc","Dancers & choreographers","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Dancers & choreographers/Umpires, referees, etc"
"363","Dancers",4,"Line item","13.5","14.1","0.6",4.6,26.8,"1.9",NA,"No formal educational credential","None","Long-term on-the-job training","Dancers","Jobs","Dancers","Dancers & choreographers","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Dancers & choreographers/Dancers"
"364","Choreographers",4,"Line item","6.9","7.1","0.2",2.8,26.4,"0.9","$48,420 ","High school diploma or equivalent","5 years or more","Long-term on-the-job training","Choreographers","Jobs","Choreographers","Dancers & choreographers","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Dancers & choreographers/Choreographers"
"365","Musicians, singers, & related workers",3,"Summary","247.3","261.9","14.7",5.9,32.4,"25.5",NA,NA,NA,NA,"Musicians, singers, etc","Jobs","Choreographers","Musicians, singers, etc","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Musicians, singers, etc/Choreographers"
"366","Music directors & composers",4,"Line item","74.8","79.1","4.3",5.7,25.8,"7.7","$50,590 ","Bachelor's degree","Less than 5 years","None","Music directors & composers","Jobs","Music directors & composers","Musicians, singers, etc","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Musicians, singers, etc/Music directors & composers"
"367","Musicians & singers",4,"Line item","172.4","182.8","10.4",6,35.3,"17.8",NA,"No formal educational credential","None","Long-term on-the-job training","Musicians & singers","Jobs","Musicians & singers","Musicians, singers, etc","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Musicians, singers, etc/Musicians & singers"
"368","Entertainers & performers, sports & related workers, all other",3,"Line item","26.7","28.9","2.2",8.1,50.2,"3.2",NA,"No formal educational credential","None","Short-term on-the-job training","Entertainers & performers, sports & related workers, etc","Jobs","Musicians & singers","Entertainers & performers, sports & related workers, etc","Entertainers & performers, sports & related workers","Arts, design, etc","Jobs/Arts, design, etc/Entertainers & performers, sports & related workers/Entertainers & performers, sports & related workers, etc/Musicians & singers"
"369","Media & communication workers",2,"Summary","774.8","818","43.2",5.6,21,"78.2","$56,340 ",NA,NA,NA,"Media & communication workers","Jobs","Musicians & singers","Entertainers & performers, sports & related workers, etc","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Entertainers & performers, sports & related workers, etc/Musicians & singers"
"370","Announcers",3,"Summary","52.7","48.2","-4.5",-8.5,29.8,"4.3","$31,500 ",NA,NA,NA,"Announcers","Jobs","Musicians & singers","Announcers","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Announcers/Musicians & singers"
"371","Radio & television announcers",4,"Line item","41.3","36.5","-4.8",-11.6,29.8,"3.2","$32,450 ","Bachelor's degree","None","None","Radio & television announcers","Jobs","Radio & television announcers","Announcers","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Announcers/Radio & television announcers"
"372","Public address system & other announcers",4,"Line item","11.4","11.7","0.3",2.5,29.8,"1.1","$28,440 ","High school diploma or equivalent","None","Short-term on-the-job training","Public address system & other announcers","Jobs","Public address system & other announcers","Announcers","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Announcers/Public address system & other announcers"
"373","News analysts, reporters & correspondents",3,"Summary","50.4","45.9","-4.5",-8.9,11.3,"4.2","$40,910 ",NA,NA,NA,"News analysts, reporters & correspondents","Jobs","Public address system & other announcers","News analysts, reporters & correspondents","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/News analysts, reporters & correspondents/Public address system & other announcers"
"374","Broadcast news analysts",4,"Line item","5.7","5.6","0",-0.4,11.1,"0.5","$62,910 ","Bachelor's degree","None","None","Broadcast news analysts","Jobs","Broadcast news analysts","News analysts, reporters & correspondents","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/News analysts, reporters & correspondents/Broadcast news analysts"
"375","Reporters & correspondents",4,"Line item","44.7","40.2","-4.5",-10,11.3,"3.7","$39,370 ","Bachelor's degree","None","None","Reporters & correspondents","Jobs","Reporters & correspondents","News analysts, reporters & correspondents","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/News analysts, reporters & correspondents/Reporters & correspondents"
"376","Public relations specialists",3,"Line item","259.6","282.6","22.9",8.8,2.5,"28.2","$59,300 ","Bachelor's degree","None","None","Public relations specialists","Jobs","Reporters & correspondents","Public relations specialists","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Public relations specialists/Reporters & correspondents"
"377","Writers & editors",3,"Summary","311","324.9","13.9",4.5,35.7,"30.3","$62,720 ",NA,NA,NA,"Writers & editors","Jobs","Reporters & correspondents","Writers & editors","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Writers & editors/Reporters & correspondents"
"378","Editors",4,"Line item","127.4","125.6","-1.8",-1.4,20,"12","$58,770 ","Bachelor's degree","Less than 5 years","None","Editors","Jobs","Editors","Writers & editors","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Writers & editors/Editors"
"379","Technical writers",4,"Line item","52.4","58.1","5.7",11,3.1,"5.7","$70,930 ","Bachelor's degree","Less than 5 years","Short-term on-the-job training","Technical writers","Jobs","Technical writers","Writers & editors","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Writers & editors/Technical writers"
"380","Writers & authors",4,"Line item","131.2","141.2","10",7.6,63.9,"12.6","$61,820 ","Bachelor's degree","None","Long-term on-the-job training","Writers & authors","Jobs","Writers & authors","Writers & editors","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Writers & editors/Writers & authors"
"381","Miscellaneous media & communication workers",3,"Summary","101.1","116.4","15.3",15.1,23.5,"11.2","$47,360 ",NA,NA,NA,"Miscellaneous media & communication workers","Jobs","Writers & authors","Miscellaneous media & communication workers","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Miscellaneous media & communication workers/Writers & authors"
"382","Interpreters & translators",4,"Line item","68.2","80.3","12.1",17.7,21.6,"7.8","$47,190 ","Bachelor's degree","None","None","Interpreters & translators","Jobs","Interpreters & translators","Miscellaneous media & communication workers","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Miscellaneous media & communication workers/Interpreters & translators"
"383","Media & communication workers, all other",4,"Line item","32.9","36.2","3.3",9.9,27.6,"3.4","$47,900 ","High school diploma or equivalent","None","Short-term on-the-job training","Media & communication workers, all other","Jobs","Media & communication workers, all other","Miscellaneous media & communication workers","Media & communication workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication workers/Miscellaneous media & communication workers/Media & communication workers, all other"
"384","Media & communication equipment workers",2,"Summary","362.5","374.1","11.6",3.2,34.4,"32.7","$45,570 ",NA,NA,NA,"Media & communication equipment workers","Jobs","Media & communication workers, all other","Miscellaneous media & communication workers","Media & communication equipment workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication equipment workers/Miscellaneous media & communication workers/Media & communication workers, all other"
"385","Broadcast & sound engineering technicians & radio operators",3,"Summary","135.3","146","10.7",7.9,9.7,"13.7","$42,660 ",NA,NA,NA,"Broadcast & sound engineering technicians & radio operators","Jobs","Media & communication workers, all other","Broadcast & sound engineering technicians & radio operators","Media & communication equipment workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication equipment workers/Broadcast & sound engineering technicians & radio operators/Media & communication workers, all other"
"386","Audio & video equipment technicians",4,"Line item","83.3","94","10.7",12.9,9.4,"9","$42,190 ","Postsecondary nondegree award","None","Short-term on-the-job training","Audio & video equipment technicians","Jobs","Audio & video equipment technicians","Broadcast & sound engineering technicians & radio operators","Media & communication equipment workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication equipment workers/Broadcast & sound engineering technicians & radio operators/Audio & video equipment technicians"
"387","Broadcast technicians",4,"Line item","34","32.9","-1.1",-3.2,10.2,"2.9","$39,060 ","Associate's degree","None","Short-term on-the-job training","Broadcast technicians","Jobs","Broadcast technicians","Broadcast & sound engineering technicians & radio operators","Media & communication equipment workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication equipment workers/Broadcast & sound engineering technicians & radio operators/Broadcast technicians"
"388","Radio operators",4,"Line item","0.9","0.9","0",-1,NA,"0.1","$44,330 ","High school diploma or equivalent","None","Short-term on-the-job training","Radio operators","Jobs","Radio operators","Broadcast & sound engineering technicians & radio operators","Media & communication equipment workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication equipment workers/Broadcast & sound engineering technicians & radio operators/Radio operators"
"389","Sound engineering technicians",4,"Line item","17","18.1","1.1",6.3,10.8,"1.7","$55,810 ","Postsecondary nondegree award","None","Short-term on-the-job training","Sound engineering technicians","Jobs","Sound engineering technicians","Broadcast & sound engineering technicians & radio operators","Media & communication equipment workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication equipment workers/Broadcast & sound engineering technicians & radio operators/Sound engineering technicians"
"390","Photographers",3,"Line item","147.3","139","-8.3",-5.6,68.2,"10.3","$32,490 ","High school diploma or equivalent","None","Long-term on-the-job training","Photographers","Jobs","Sound engineering technicians","Photographers","Media & communication equipment workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication equipment workers/Photographers/Sound engineering technicians"
"391","Television, video, & motion picture camera operators & editors",3,"Summary","59.3","66.9","7.6",12.7,15.9,"6.6","$58,210 ",NA,NA,NA,"Television, video, etc","Jobs","Sound engineering technicians","Television, video, etc","Media & communication equipment workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication equipment workers/Television, video, etc/Sound engineering technicians"
"392","Camera operators, television, video, & motion picture",4,"Line item","25.1","26.9","1.8",7,15.3,"2.6","$53,550 ","Bachelor's degree","None","None","Camera operators, television, etc","Jobs","Camera operators, television, etc","Television, video, etc","Media & communication equipment workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication equipment workers/Television, video, etc/Camera operators, television, etc"
"393","Film & video editors",4,"Line item","34.2","40","5.8",17,16.3,"4","$61,180 ","Bachelor's degree","None","None","Film & video editors","Jobs","Film & video editors","Television, video, etc","Media & communication equipment workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication equipment workers/Television, video, etc/Film & video editors"
"394","Media & communication equipment workers, all other",3,"Line item","20.6","22.2","1.6",7.9,7.8,"2.1","$79,500 ","High school diploma or equivalent","None","Short-term on-the-job training","Media & communication equipment workers, all other","Jobs","Film & video editors","Media & communication equipment workers, all other","Media & communication equipment workers","Arts, design, etc","Jobs/Arts, design, etc/Media & communication equipment workers/Media & communication equipment workers, all other/Film & video editors"
