title,Hierarchy,"Occupationtype",Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,"Percent self employed, 2016","Occupational openings, 2016-26 annual average","Median annual wage, 2017(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
"Service unit operators, oil, gas, & mining",4,Line item,41.4,51.1,9.7,23.4,NA,6.4,"$48,290 ",No formal educational credential,None,Moderate-term on-the-job training
"Earth drillers, except oil & gas",3,Line item,19.6,23.5,3.9,19.6,8.3,2.6,"$43,850 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Explosives workers, ordnance handling experts, & blasters",3,Line item,6.3,6.8,0.5,7.1,NA,0.8,"$49,650 ",High school diploma or equivalent,Less than 5 years,Long-term on-the-job training
Mining machine operators,3,Summary,20.6,19.9,-0.7,-3.5,5.5,2.3,"$53,200 ",NA,NA,NA
Continuous mining machine operators,4,Line item,12.3,11.9,-0.5,-3.7,5.5,1.4,"$54,620 ",No formal educational credential,None,Moderate-term on-the-job training
Mine cutting & channeling machine operators,4,Line item,6.1,5.8,-0.3,-4.5,5.5,0.7,"$52,270 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Mining machine operators, all other",4,Line item,2.2,2.2,0,0.2,5.5,0.3,"$48,850 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rock splitters, quarry",3,Line item,3.7,3.5,-0.2,-6.3,NA,0.4,"$34,350 ",No formal educational credential,None,Short-term on-the-job training
"Roof bolters, mining",3,Line item,3.7,3.5,-0.2,-5.2,NA,0.4,"$58,450 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Roustabouts, oil & gas",3,Line item,50,62.4,12.4,24.8,1.8,8,"$36,960 ",No formal educational credential,None,Moderate-term on-the-job training
Helpers--extraction workers,3,Line item,17,20.3,3.4,19.7,NA,2.6,"$35,710 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Extraction workers, all other",3,Line item,4.2,4.8,0.7,15.9,NA,0.6,"$49,230 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Installation, maintenance, & repair occupations",1,Summary,"5,905.40","6,293.60",388.2,6.6,5.2,610.6,"$44,520 ",NA,NA,NA
"Supervisors of installation, maintenance, & repair workers",2,Summary,462.2,495,32.8,7.1,0.1,43.4,"$64,780 ",NA,NA,NA
"First-line supervisors of mechanics, installers, & repairers",3,Line item,462.2,495,32.8,7.1,0.1,43.4,"$64,780 ",High school diploma or equivalent,Less than 5 years,None
"Electrical & electronic equipment mechanics, installers, & repairers",2,Summary,628.1,621.3,-6.7,-1.1,5.4,60.8,"$49,530 ",NA,NA,NA
"Computer, automated teller, & office machine repairers",3,Line item,119.5,117.7,-1.8,-1.5,14.9,11.2,"$37,710 ","Some college, no degree",None,Short-term on-the-job training
Radio & telecommunications equipment installers & repairers,3,Summary,252.1,234.7,-17.4,-6.9,2.2,23.5,"$53,590 ",NA,NA,NA
"Radio, cellular, & tower equipment installers & repairs",4,Line item,14.5,15.3,0.8,5.4,2.1,1.6,"$56,000 ",Associate's degree,None,Moderate-term on-the-job training
"Telecommunications equipment installers & repairers, except line installers",4,Line item,237.6,219.4,-18.2,-7.6,2.3,21.9,"$53,380 ",Postsecondary nondegree award,None,Moderate-term on-the-job training
"Miscellaneous electrical & electronic equipment mechanics, installers, & repairers",3,Summary,256.5,269,12.4,4.8,4.1,26,"$51,630 ",NA,NA,NA
Avionics technicians,4,Line item,17.5,18.6,1.1,6,NA,1.5,"$62,650 ",Associate's degree,None,None
"Electric motor, power tool, & related repairers",4,Line item,17.3,18.5,1.2,7,1.7,1.8,"$42,580 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
"Electrical & electronics installers & repairers, transportation equipment",4,Line item,13.9,14.3,0.4,2.9,NA,1.3,"$60,840 ",Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical & electronics repairers, commercial & industrial equipment",4,Line item,68.3,69.9,1.6,2.4,NA,6.1,"$57,190 ",Postsecondary nondegree award,None,Long-term on-the-job training
"Electrical & electronics repairers, powerhouse, substation, & relay",4,Line item,23.4,24.3,0.9,3.7,NA,2.1,"$78,410 ",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"Electronic equipment installers & repairers, motor vehicles",4,Line item,12.1,9,-3.1,-25.6,1.9,0.7,"$34,530 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Electronic home entertainment equipment installers & repairers,4,Line item,31.7,31.7,0,0,19.8,3.3,"$37,190 ",Postsecondary nondegree award,None,Short-term on-the-job training
Security & fire alarm systems installers,4,Line item,72.3,82.6,10.4,14.4,5.1,9.4,"$45,670 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Vehicle & mobile equipment mechanics, installers, & repairers",2,Summary,"1,750.20","1,866.20",116,6.6,8.7,180.4,"$42,130 ",NA,NA,NA
Aircraft mechanics & service technicians,3,Line item,132,138.5,6.4,4.9,0.7,10.9,"$61,020 ",Postsecondary nondegree award,None,None
Automotive technicians & repairers,3,Summary,930,990.8,60.8,6.5,12.3,94.8,"$39,780 ",NA,NA,NA
Automotive body & related repairers,4,Line item,160.4,174.1,13.6,8.5,9.3,17.1,"$41,970 ",High school diploma or equivalent,None,Long-term on-the-job training
Automotive glass installers & repairers,4,Line item,19.6,20.9,1.3,6.5,3.8,2.1,"$34,170 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Automotive service technicians & mechanics,4,Line item,749.9,795.8,45.9,6.1,13.1,75.6,"$39,550 ",Postsecondary nondegree award,None,Short-term on-the-job training
Bus & truck mechanics & diesel engine specialists,3,Line item,278.8,304.6,25.8,9.2,6.9,28.2,"$46,360 ",High school diploma or equivalent,None,Long-term on-the-job training
Heavy vehicle & mobile equipment service technicians & mechanics,3,Summary,192.1,207,14.9,7.8,2.8,20.3,"$49,440 ",NA,NA,NA
Farm equipment mechanics & service technicians,4,Line item,42.5,45.7,3.2,7.6,2.7,4.5,"$39,340 ",High school diploma or equivalent,None,Long-term on-the-job training
"Mobile heavy equipment mechanics, except engines",4,Line item,127.4,137.9,10.5,8.3,2.8,13.5,"$50,860 ",High school diploma or equivalent,None,Long-term on-the-job training
Rail car repairers,4,Line item,22.3,23.4,1.2,5.2,2.9,2.3,"$57,460 ",High school diploma or equivalent,None,Long-term on-the-job training
Small engine mechanics,3,Summary,79.3,83.1,3.8,4.8,12.2,8.7,"$35,990 ",NA,NA,NA
Motorboat mechanics & service technicians,4,Line item,23.4,23.3,-0.1,-0.5,12.2,2.4,"$38,960 ",High school diploma or equivalent,None,Long-term on-the-job training
Motorcycle mechanics,4,Line item,18.3,18.4,0,0.3,12.4,1.9,"$35,680 ",Postsecondary nondegree award,None,Short-term on-the-job training
Outdoor power equipment & other small engine mechanics,4,Line item,37.6,41.5,3.9,10.3,12,4.4,"$34,370 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous vehicle & mobile equipment mechanics, installers, & repairers",3,Summary,138,142.3,4.3,3.1,1.8,17.6,"$27,690 ",NA,NA,NA
Bicycle repairers,4,Line item,12.4,16.1,3.6,29.3,1.9,2.1,"$28,390 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Recreational vehicle service technicians,4,Line item,13.8,13.7,-0.2,-1.1,1.8,1.7,"$37,200 ",High school diploma or equivalent,None,Long-term on-the-job training
Tire repairers & changers,4,Line item,111.7,112.5,0.8,0.7,1.8,13.8,"$26,710 ",High school diploma or equivalent,None,Short-term on-the-job training
"Other installation, maintenance, & repair occupations",2,Summary,"3,065.00","3,311.10",246.1,8,4,325.9,"$42,010 ",NA,NA,NA
Control & valve installers & repairers,3,Summary,67.3,71.6,4.4,6.5,1.8,5.6,"$49,020 ",NA,NA,NA
Mechanical door repairers,4,Line item,20.4,22.5,2.1,10.2,2.1,1.8,"$39,510 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Control & valve installers & repairers, except mechanical door",4,Line item,46.9,49.2,2.3,4.9,1.7,3.8,"$55,850 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Heating, air conditioning, & refrigeration mechanics & installers",3,Line item,332.9,381.7,48.8,14.7,9.1,38.7,"$47,080 ",Postsecondary nondegree award,None,Long-term on-the-job training
Home appliance repairers,3,Line item,46.6,44.7,-1.9,-4.2,28.4,4,"$38,160 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Industrial machinery installation, repair, & maintenance workers",3,Summary,477.7,509.7,32,6.7,1.7,46.9,"$50,430 ",NA,NA,NA
Industrial machinery mechanics,4,Line item,346.9,370.1,23.2,6.7,2.2,33,"$51,360 ",High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance workers, machinery",4,Line item,89.7,94.7,5,5.6,0.4,9.8,"$45,540 ",High school diploma or equivalent,None,Long-term on-the-job training
Millwrights,4,Line item,39.5,43.4,3.9,9.8,NA,4,"$53,980 ",High school diploma or equivalent,None,Apprenticeship
"Refractory materials repairers, except brickmasons",4,Line item,1.6,1.5,-0.1,-3.5,NA,0.1,"$48,570 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Line installers & repairers,3,Summary,227,245.3,18.4,8.1,3.1,22.4,"$64,190 ",NA,NA,NA
Electrical power-line installers & repairers,4,Line item,120.9,137.7,16.8,13.9,1.7,11.7,"$69,380 ",High school diploma or equivalent,None,Long-term on-the-job training
Telecommunications line installers & repairers,4,Line item,106.1,107.7,1.6,1.5,4.7,10.7,"$55,060 ",High school diploma or equivalent,None,Long-term on-the-job training
Precision instrument & equipment repairers,3,Summary,73.8,75.7,2,2.7,7.2,6.6,"$47,920 ",NA,NA,NA
Camera & photographic equipment repairers,4,Line item,4,4.1,0.1,2.3,7.2,0.4,"$40,770 ",High school diploma or equivalent,None,Long-term on-the-job training
Medical equipment repairers,4,Line item,47.1,49.1,2,4.3,7.4,4.3,"$48,820 ",Associate's degree,None,Moderate-term on-the-job training
Musical instrument repairers & tuners,4,Line item,8.3,8.4,0.1,1.2,7.9,0.7,"$36,530 ",High school diploma or equivalent,None,Apprenticeship
Watch repairers,4,Line item,1.8,1.2,-0.5,-29.7,7.7,0.1,"$35,770 ",High school diploma or equivalent,None,Long-term on-the-job training
"Precision instrument & equipment repairers, all other",4,Line item,12.6,12.8,0.3,2.1,5.8,1.1,"$56,940 ",High school diploma or equivalent,None,Long-term on-the-job training
"Maintenance & repair workers, general",3,Line item,"1,432.60","1,545.10",112.5,7.9,1,154.7,"$37,670 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Wind turbine service technicians,3,Line item,5.8,11.3,5.6,96.3,16.9,1.4,"$53,880 ",Postsecondary nondegree award,None,Long-term on-the-job training
"Miscellaneous installation, maintenance, & repair workers",3,Summary,401.4,425.8,24.5,6.1,10.8,45.6,"$35,200 ",NA,NA,NA
"Coin, vending, & amusement machine servicers & repairers",4,Line item,36.6,32,-4.6,-12.5,7,3.3,"$33,690 ",High school diploma or equivalent,None,Short-term on-the-job training
Commercial divers,4,Line item,4.1,4.5,0.4,10.8,17.4,0.4,"$47,210 ",Postsecondary nondegree award,None,Moderate-term on-the-job training
"Fabric menders, except garment",4,Line item,0.7,0.6,0,-7.3,17.5,0.1,"$28,640 ",High school diploma or equivalent,None,Long-term on-the-job training
Locksmiths & safe repairers,4,Line item,28.7,27.8,-1,-3.3,33,2.5,"$40,680 ",High school diploma or equivalent,None,Long-term on-the-job training
Manufactured building & mobile home installers,4,Line item,4.3,4,-0.4,-8.9,26.1,0.3,"$30,960 ",High school diploma or equivalent,None,Short-term on-the-job training
Riggers,4,Line item,20.9,22.9,2.1,9.8,NA,2.3,"$48,580 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Signal & track switch repairers,4,Line item,10,10.2,0.1,1.3,14.6,1,"$68,400 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers--installation, maintenance, & repair workers",4,Line item,120.2,133.5,13.3,11.1,0.3,17,"$28,490 ",High school diploma or equivalent,None,Short-term on-the-job training
"Installation, maintenance, & repair workers, all other",4,Line item,175.8,190.3,14.5,8.2,15.6,18.7,"$38,800 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Production occupations,1,Summary,"9,356.90","8,950.00",-406.9,-4.3,2.6,990.4,"$33,990 ",NA,NA,NA
Supervisors of production workers,2,Summary,621.4,619.5,-1.8,-0.3,1.5,59.3,"$58,870 ",NA,NA,NA
First-line supervisors of production & operating workers,3,Line item,621.4,619.5,-1.8,-0.3,1.5,59.3,"$58,870 ",High school diploma or equivalent,Less than 5 years,None
Assemblers & fabricators,2,Summary,"1,819.30","1,557.40",-261.9,-14.4,1.2,166.9,"$31,850 ",NA,NA,NA
"Aircraft structure, surfaces, rigging, & systems assemblers",3,Line item,41.8,34.5,-7.3,-17.4,NA,3.2,"$53,510 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Electrical, electronics, & electromechanical assemblers",3,Summary,278.7,220.4,-58.4,-20.9,0.4,23.1,"$32,570 ",NA,NA,NA
"Coil winders, tapers, & finishers",4,Line item,14.1,11.2,-2.9,-20.7,0.4,1.2,"$33,310 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Electrical & electronic equipment assemblers,4,Line item,218.9,173.3,-45.6,-20.8,0.4,18.2, NA ,High school diploma or equivalent,None,Moderate-term on-the-job training
Electromechanical equipment assemblers,4,Line item,45.7,35.9,-9.8,-21.4,0.4,3.8, NA ,High school diploma or equivalent,None,Moderate-term on-the-job training
Engine & other machine assemblers,3,Line item,38,31.5,-6.5,-17.2,NA,2.8,"$43,390 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Structural metal fabricators & fitters,3,Line item,77,65.2,-11.8,-15.3,0.2,6.5,"$38,450 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous assemblers & fabricators,3,Summary,"1,383.80","1,205.80",-178,-12.9,1.4,131.3,"$30,720 ",NA,NA,NA
Fiberglass laminators & fabricators,4,Line item,19.7,19.4,-0.3,-1.5,1.4,2.2,"$32,290 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Team assemblers,4,Line item,"1,130.90",985.9,-145,-12.8,1.4,107.4, NA ,High school diploma or equivalent,None,Moderate-term on-the-job training
Timing device assemblers & adjusters,4,Line item,0.8,0.6,-0.2,-20.1,NA,0.1,"$34,800 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Assemblers & fabricators, all other",4,Line item,232.4,199.8,-32.6,-14,1.4,21.6, NA ,High school diploma or equivalent,None,Moderate-term on-the-job training
Food processing workers,2,Summary,823,853.7,30.7,3.7,2.1,110.8,"$27,040 ",NA,NA,NA
Bakers,3,Line item,191,205.6,14.6,7.6,4.9,29.1,"$25,690 ",No formal educational credential,None,Long-term on-the-job training
"Butchers & other meat, poultry, & fish processing workers",3,Summary,374.6,384.3,9.7,2.6,0.7,46.9,"$27,330 ",NA,NA,NA
Butchers & meat cutters,4,Line item,135.7,143.5,7.8,5.8,0.7,17.7,"$30,890 ",No formal educational credential,None,Long-term on-the-job training
"Meat, poultry, & fish cutters & trimmers",4,Line item,156.4,157.8,1.4,0.9,0.7,19.2,"$25,250 ",No formal educational credential,None,Short-term on-the-job training
Slaughterers & meat packers,4,Line item,82.5,83,0.5,0.6,0.7,10.1,"$27,530 ",No formal educational credential,None,Short-term on-the-job training
Miscellaneous food processing workers,3,Summary,257.4,263.8,6.4,2.5,2.1,34.8,"$27,630 ",NA,NA,NA
"Food & tobacco roasting, baking, & drying machine operators & tenders",4,Line item,20.1,19.9,-0.2,-0.8,1.2,2.2,"$29,410 ",No formal educational credential,None,Moderate-term on-the-job training
Food batchmakers,4,Line item,153.7,156.4,2.6,1.7,1.3,21.7,"$28,500 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Food cooking machine operators & tenders,4,Line item,37.2,38.1,0.9,2.5,0.4,5.2,"$28,420 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Food processing workers, all other",4,Line item,46.4,49.4,3,6.5,6.2,5.6,"$24,460 ",No formal educational credential,None,Moderate-term on-the-job training
Metal workers & plastic workers,2,Summary,"1,954.70","1,886.10",-68.5,-3.5,1.8,192,"$38,210 ",NA,NA,NA
Computer control programmers & operators,3,Summary,170.7,176.4,5.7,3.3,NA,17.5,"$40,680 ",NA,NA,NA
"Computer-controlled machine tool operators, metal & plastic",4,Line item,145.7,147.3,1.6,1.1,NA,14.5,"$39,230 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Computer numerically controlled machine tool programmers, metal & plastic",4,Line item,25.1,29.2,4.1,16.3,NA,3.1,"$52,550 ",Postsecondary nondegree award,None,Moderate-term on-the-job training
"Forming machine setters, operators, & tenders, metal & plastic",3,Summary,120.5,102.1,-18.4,-15.3,NA,9.3,"$35,910 ",NA,NA,NA
"Extruding & drawing machine setters, operators, & tenders, metal & plastic",4,Line item,72.3,61.3,-11,-15.2,NA,5.6,"$34,600 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Forging machine setters, operators, & tenders, metal & plastic",4,Line item,19.2,15.5,-3.7,-19.2,NA,1.4,"$38,650 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Rolling machine setters, operators, & tenders, metal & plastic",4,Line item,29,25.3,-3.7,-12.9,NA,2.3,"$37,860 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Machine tool cutting setters, operators, & tenders, metal & plastic",3,Summary,332.4,299.1,-33.2,-10,0.7,30.9,"$34,230 ",NA,NA,NA
"Cutting, punching, & press machine setters, operators, & tenders, metal & plastic",4,Line item,192.7,175.9,-16.8,-8.7,0,18.9,"$33,060 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Drilling & boring machine tool setters, operators, & tenders, metal & plastic",4,Line item,12.3,9.9,-2.4,-19.5,0.6,0.9,"$37,270 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Grinding, lapping, polishing, & buffing machine tool setters, operators, & tenders, metal & plastic",4,Line item,76.2,68.3,-7.8,-10.3,2.6,6.8,"$33,480 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Lathe & turning machine tool setters, operators, & tenders, metal & plastic",4,Line item,33.7,30.8,-2.8,-8.4,NA,2.9,"$38,580 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Milling & planing machine setters, operators, & tenders, metal & plastic",4,Line item,17.6,14.2,-3.4,-19.3,0.6,1.3,"$42,650 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Machinists,3,Line item,396.2,404.1,7.9,2,1.6,40.7,"$42,600 ",High school diploma or equivalent,None,Long-term on-the-job training
"Metal furnace operators, tenders, pourers, & casters",3,Summary,26.2,22.8,-3.4,-13.1,NA,2,"$40,250 ",NA,NA,NA
Metal-refining furnace operators & tenders,4,Line item,17.7,16.3,-1.4,-8.1,NA,1.5,"$41,300 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Pourers & casters, metal",4,Line item,8.4,6.5,-2,-23.4,NA,0.5,"$38,210 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Model makers & patternmakers, metal & plastic",3,Summary,9.7,8.4,-1.3,-13.3,0.6,0.8,"$50,390 ",NA,NA,NA
"Model makers, metal & plastic",4,Line item,6.3,5.5,-0.8,-12.2,NA,0.6,"$53,670 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, metal & plastic",4,Line item,3.4,2.9,-0.5,-15.5,NA,0.3,"$45,030 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molders & molding machine setters, operators, & tenders, metal & plastic",3,Summary,157.9,133.1,-24.8,-15.7,NA,13.9,"$31,420 ",NA,NA,NA
Foundry mold & coremakers,4,Line item,12.5,9.5,-3,-24,NA,0.9,"$35,140 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Molding, coremaking, & casting machine setters, operators, & tenders, metal & plastic",4,Line item,145.4,123.6,-21.8,-15,NA,12.9,"$31,090 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Multiple machine tool setters, operators, & tenders, metal & plastic",3,Line item,117.8,114.7,-3.1,-2.7,0.6,12,"$34,800 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Tool & die makers,3,Line item,72.5,67.3,-5.2,-7.2,0.4,6,"$52,480 ",Postsecondary nondegree award,None,Long-term on-the-job training
"Welding, soldering, & brazing workers",3,Summary,454,471.6,17.5,3.9,5.5,50.2,"$39,910 ",NA,NA,NA
"Welders, cutters, solderers, & brazers",4,Line item,404.8,427.3,22.5,5.6,5.4,45.8,"$40,240 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Welding, soldering, & brazing machine setters, operators, & tenders",4,Line item,49.2,44.2,-5,-10.2,5.6,4.4,"$37,190 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous metal workers & plastic workers,3,Summary,96.7,86.6,-10.2,-10.5,0.3,8.6,"$35,390 ",NA,NA,NA
"Heat treating equipment setters, operators, & tenders, metal & plastic",4,Line item,19.8,17,-2.8,-14.2,0.6,1.7,"$37,300 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Layout workers, metal & plastic",4,Line item,9.2,8.5,-0.6,-6.9,NA,0.9,"$46,310 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Plating & coating machine setters, operators, & tenders, metal & plastic",4,Line item,35.3,30.4,-4.9,-13.8,NA,2.8,"$31,920 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Tool grinders, filers, & sharpeners",4,Line item,9.5,9.2,-0.3,-3.5,NA,1.1,"$36,390 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Metal workers & plastic workers, all other",4,Line item,23,21.4,-1.5,-6.7,0.6,2.2,"$35,820 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Printing workers,2,Summary,267.3,235.4,-31.9,-11.9,4.5,24.7,"$35,560 ",NA,NA,NA
Prepress technicians & workers,3,Line item,34.6,27.7,-6.9,-19.9,3.8,3,"$39,910 ",Postsecondary nondegree award,None,None
Printing press operators,3,Line item,178.7,160.2,-18.6,-10.4,5.1,15.8,"$35,760 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Print binding & finishing workers,3,Line item,54,47.6,-6.5,-12,3.1,6,"$32,040 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile, apparel, & furnishings workers",2,Summary,654.3,599.9,-54.4,-8.3,10.9,70.4,"$24,370 ",NA,NA,NA
Laundry & dry-cleaning workers,3,Line item,220.1,219.6,-0.5,-0.2,4.6,29.5,"$22,370 ",No formal educational credential,None,Short-term on-the-job training
"Pressers, textile, garment, & related materials",3,Line item,45,42,-3,-6.7,NA,5.2,"$22,440 ",No formal educational credential,None,Short-term on-the-job training
Sewing machine operators,3,Line item,153.9,128.2,-25.7,-16.7,9.9,12.3,"$24,320 ",No formal educational credential,None,Short-term on-the-job training
Shoe & leather workers,3,Summary,14.6,13,-1.6,-11.2,23.5,1.2,"$26,240 ",NA,NA,NA
Shoe & leather workers & repairers,4,Line item,11,9.7,-1.3,-11.7,29.8,0.8,"$25,610 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Shoe machine operators & tenders,4,Line item,3.6,3.3,-0.3,-9.5,4.4,0.4,"$27,420 ",High school diploma or equivalent,None,Short-term on-the-job training
"Tailors, dressmakers, & sewers",3,Summary,57.7,51.4,-6.3,-11,51.8,6.2,"$27,920 ",NA,NA,NA
"Sewers, hand",4,Line item,13.5,11.6,-1.8,-13.7,51.7,1.4,"$26,230 ",No formal educational credential,None,Moderate-term on-the-job training
"Tailors, dressmakers, & custom sewers",4,Line item,44.3,39.8,-4.5,-10.1,51.9,4.8,"$28,600 ",No formal educational credential,None,Moderate-term on-the-job training
"Textile machine setters, operators, & tenders",3,Summary,79.3,65.4,-13.9,-17.5,2.5,7.3,"$28,010 ",NA,NA,NA
Textile bleaching & dyeing machine operators & tenders,4,Line item,11.3,9.2,-2,-18.1,4.4,1,"$28,280 ",High school diploma or equivalent,None,Short-term on-the-job training
"Textile cutting machine setters, operators, & tenders",4,Line item,15,12.6,-2.4,-15.8,NA,1.6,"$26,890 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile knitting & weaving machine setters, operators, & tenders",4,Line item,22.2,17.9,-4.3,-19.3,3.5,2.1,"$27,960 ",High school diploma or equivalent,None,Short-term on-the-job training
"Textile winding, twisting, & drawing out machine setters, operators, & tenders",4,Line item,30.8,25.6,-5.2,-16.8,2.2,2.6,"$28,270 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Miscellaneous textile, apparel, & furnishings workers",3,Summary,83.7,80.4,-3.3,-4,12.9,8.7,"$32,670 ",NA,NA,NA
"Extruding & forming machine setters, operators, & tenders, synthetic & glass fibers",4,Line item,20.2,18.3,-1.9,-9.5,4.4,2.1,"$33,470 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Fabric & apparel patternmakers,4,Line item,5.5,4.6,-0.9,-16.1,4.4,0.5,"$40,460 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Upholsterers,4,Line item,41.6,41.8,0.1,0.3,21.6,4.2,"$33,660 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Textile, apparel, & furnishings workers, all other",4,Line item,16.3,15.7,-0.7,-4.1,4.2,1.8,"$26,670 ",High school diploma or equivalent,None,Short-term on-the-job training
Woodworkers,2,Summary,279.3,282.6,3.3,1.2,9.7,30,"$30,900 ",NA,NA,NA
Cabinetmakers & bench carpenters,3,Line item,109.3,111.8,2.5,2.3,10.3,11.5,"$33,920 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Furniture finishers,3,Line item,22.4,22.3,-0.1,-0.4,22.2,2,"$31,300 ",High school diploma or equivalent,None,Short-term on-the-job training
"Model makers & patternmakers, wood",3,Summary,3.7,3.8,0.1,3.1,45,0.4,"$51,470 ",NA,NA,NA
"Model makers, wood",4,Line item,1.9,1.9,0.1,3,44.8,0.2,"$50,150 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Patternmakers, wood",4,Line item,1.8,1.8,0.1,3.3,45.2,0.2,"$52,380 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, & tenders",3,Summary,131.9,132.2,0.3,0.2,3,14.6,"$29,100 ",NA,NA,NA
"Sawing machine setters, operators, & tenders, wood",4,Line item,54.8,54.6,-0.2,-0.3,6.2,6.2,"$29,080 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworking machine setters, operators, & tenders, except sawing",4,Line item,77.1,77.5,0.5,0.6,0.7,8.4,"$29,110 ",High school diploma or equivalent,None,Moderate-term on-the-job training
"Woodworkers, all other",3,Line item,12.1,12.5,0.4,3.6,43.5,1.4,"$30,680 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Plant & system operators,2,Summary,314,309.7,-4.3,-1.4,0.1,27.8,"$58,350 ",NA,NA,NA
"Power plant operators, distributors, & dispatchers",3,Summary,54.7,54.2,-0.6,-1,NA,4.6,"$80,440 ",NA,NA,NA
Nuclear power reactor operators,4,Line item,7,6.3,-0.7,-10.2,NA,0.5,"$93,370 ",High school diploma or equivalent,None,Long-term on-the-job training
Power distributors & dispatchers,4,Line item,11.6,11.3,-0.3,-2.5,NA,1,"$82,510 ",High school diploma or equivalent,None,Long-term on-the-job training
Power plant operators,4,Line item,36.1,36.5,0.5,1.3,NA,3.2,"$77,180 ",High school diploma or equivalent,None,Long-term on-the-job training
Stationary engineers & boiler operators,3,Line item,35.7,37.5,1.7,4.8,0.7,3.9,"$59,890 ",High school diploma or equivalent,None,Long-term on-the-job training
Water & wastewater treatment plant & system operators,3,Line item,119.2,115.4,-3.8,-3.2,NA,9.2,"$46,150 ",High school diploma or equivalent,None,Long-term on-the-job training
Miscellaneous plant & system operators,3,Summary,104.4,102.7,-1.7,-1.6,NA,10,"$64,560 ",NA,NA,NA
