title,Hierarchy,"Occupationtype",Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,"Percent self employed, 2016","Occupational openings, 2016-26 annual average","Median annual wage, 2017(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Psychiatric aides,3,Line item,73.6,77.7,4.1,5.5,1,8.8,"$27,110 ",High school diploma or equivalent,None,Short-term on-the-job training
Nursing assistants,3,Line item,"1,510.30","1,683.70",173.4,11.5,2,195.1,"$27,520 ",Postsecondary nondegree award,None,None
Orderlies,3,Line item,54,58.4,4.4,8.1,NA,6.7,"$27,180 ",High school diploma or equivalent,None,Short-term on-the-job training
Occupational therapy & physical therapist assistants & aides,2,Summary,187.1,243,55.9,29.9,0.5,31.1,"$50,510 ",NA,NA,NA
Occupational therapy assistants & aides,3,Summary,46.8,60,13.2,28.3,NA,7.8,"$56,690 ",NA,NA,NA
Occupational therapy assistants,4,Line item,39.3,50.7,11.4,28.9,NA,6.6,"$59,310 ",Associate's degree,None,None
Occupational therapy aides,4,Line item,7.5,9.3,1.8,24.7,NA,1.2,"$29,200 ",High school diploma or equivalent,None,Short-term on-the-job training
Physical therapist assistants & aides,3,Summary,140.3,183,42.7,30.4,0.6,23.3,"$46,920 ",NA,NA,NA
Physical therapist assistants,4,Line item,88.3,115.8,27.4,31,0.6,14.7,"$57,430 ",Associate's degree,None,None
Physical therapist aides,4,Line item,52,67.2,15.3,29.4,0.6,8.5,"$25,730 ",High school diploma or equivalent,None,Short-term on-the-job training
Other healthcare support occupations,2,Summary,"1,579.10","1,929.80",350.7,22.2,4.5,228.2,"$33,920 ",NA,NA,NA
Massage therapists,3,Line item,160.3,202.4,42.1,26.3,39.4,22.6,"$39,990 ",Postsecondary nondegree award,None,None
Miscellaneous healthcare support occupations,3,Summary,"1,418.80","1,727.40",308.6,21.7,0.5,205.6,"$33,660 ",NA,NA,NA
Dental assistants,4,Line item,332,396.6,64.6,19.5,0.1,45.9,"$37,630 ",Postsecondary nondegree award,None,None
Medical assistants,4,Line item,634.4,818.4,183.9,29,0.4,94.9,"$32,480 ",Postsecondary nondegree award,None,None
Medical equipment preparers,4,Line item,54.2,60.2,6,11.1,1.2,7.6,"$35,370 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical transcriptionists,4,Line item,57.4,55.5,-1.9,-3.4,4.7,6.4,"$35,250 ",Postsecondary nondegree award,None,None
Pharmacy aides,4,Line item,36.9,35.2,-1.8,-4.8,NA,4.7,"$26,120 ",High school diploma or equivalent,None,Short-term on-the-job training
Veterinary assistants & laboratory animal caretakers,4,Line item,83.8,100,16.3,19.4,NA,15.5,"$26,140 ",High school diploma or equivalent,None,Short-term on-the-job training
Phlebotomists,4,Line item,122.7,152.8,30.1,24.5,0.7,16.9,"$33,670 ",Postsecondary nondegree award,None,None
"Healthcare support workers, all other",4,Line item,97.3,108.7,11.4,11.7,0.9,13.7,"$37,220 ",High school diploma or equivalent,None,None
Protective service occupations,1,Summary,"3,505.60","3,663.80",158.2,4.5,0.5,397.2,"$39,550 ",NA,NA,NA
Supervisors of protective service workers,2,Summary,284.2,295.3,11.1,3.9,0.4,21.6,"$69,440 ",NA,NA,NA
First-line supervisors of law enforcement workers,3,Summary,149.9,153.3,3.4,2.3,NA,9.5,"$80,120 ",NA,NA,NA
First-line supervisors of correctional officers,4,Line item,45.2,41.7,-3.5,-7.8,NA,2.5,"$62,500 ",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of police & detectives,4,Line item,104.7,111.6,6.9,6.6,NA,7.1,"$87,910 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
First-line supervisors of fire fighting & prevention workers,3,Line item,59.1,63.3,4.2,7.2,NA,4.4,"$76,170 ",Postsecondary nondegree award,Less than 5 years,Moderate-term on-the-job training
"First-line supervisors of protective service workers, all other",3,Line item,75.2,78.7,3.5,4.6,1.3,7.7,"$49,430 ",High school diploma or equivalent,Less than 5 years,None
Fire fighting & prevention workers,2,Summary,341.4,366.3,24.9,7.3,0.2,25.9,"$49,410 ",NA,NA,NA
Firefighters,3,Line item,327.3,350.9,23.5,7.2,0.2,24.3,"$49,080 ",Postsecondary nondegree award,None,Long-term on-the-job training
Fire inspectors,3,Summary,14.1,15.4,1.4,9.7,NA,1.6,"$56,670 ",NA,NA,NA
Fire inspectors & investigators,4,Line item,12.3,13.2,0.9,7.3,NA,1.4,"$59,260 ",Postsecondary nondegree award,5 years or more,Moderate-term on-the-job training
Forest fire inspectors & prevention specialists,4,Line item,1.7,2.2,0.5,26.6,NA,0.2,"$37,380 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Law enforcement workers,2,Summary,"1,285.00","1,300.10",15.2,1.2,NA,91,"$54,520 ",NA,NA,NA
"Bailiffs, correctional officers, & jailers",3,Summary,468.6,433.7,-34.9,-7.4,NA,32.7,"$43,510 ",NA,NA,NA
Bailiffs,4,Line item,18.6,18.2,-0.4,-2.1,NA,1.4,"$42,960 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Correctional officers & jailers,4,Line item,450,415.5,-34.5,-7.7,NA,31.3,"$43,540 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Detectives & criminal investigators,3,Line item,110.9,115.9,5,4.5,NA,7.5,"$79,970 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Fish & game wardens,3,Line item,7,7.3,0.3,4.3,NA,0.7,"$56,410 ",Bachelor's degree,None,Moderate-term on-the-job training
Parking enforcement workers,3,Line item,9.4,6.1,-3.3,-35.3,NA,0.4,"$39,030 ",High school diploma or equivalent,None,Short-term on-the-job training
Police officers,3,Summary,689.1,737.2,48.1,7,NA,49.8,"$61,160 ",NA,NA,NA
Police & sheriff's patrol officers,4,Line item,684.2,731.9,47.8,7,NA,49.5,"$61,050 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Transit & railroad police,4,Line item,4.9,5.3,0.3,6.3,NA,0.4,"$70,280 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Other protective service workers,2,Summary,"1,595.00","1,702.10",107,6.7,1.1,258.6,"$27,150 ",NA,NA,NA
Animal control workers,3,Line item,13.4,14.6,1.1,8.5,NA,1.6,"$35,520 ",High school diploma or equivalent,None,Moderate-term on-the-job training
Private detectives & investigators,3,Line item,41.4,45.8,4.4,10.6,30.8,4.5,"$50,700 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards & gaming surveillance officers,3,Summary,"1,133.90","1,205.00",71,6.3,0.4,158.9,"$26,960 ",NA,NA,NA
Gaming surveillance officers & gaming investigators,4,Line item,10.7,11.1,0.4,3.5,NA,1.4,"$33,260 ",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
Security guards,4,Line item,"1,123.30","1,193.90",70.6,6.3,0.4,157.5,"$26,900 ",High school diploma or equivalent,None,Short-term on-the-job training
Miscellaneous protective service workers,3,Summary,406.2,436.7,30.5,7.5,NA,93.6,"$26,160 ",NA,NA,NA
Crossing guards,4,Line item,74.3,80.6,6.3,8.5,NA,14.5,"$27,630 ",No formal educational credential,None,Short-term on-the-job training
"Lifeguards, ski patrol, & other recreational protective service workers",4,Line item,152.1,163.7,11.7,7.7,NA,39.7,"$21,290 ",No formal educational credential,None,Short-term on-the-job training
Transportation security screeners,4,Line item,46.1,47.3,1.2,2.6,NA,4.2,"$40,580 ",High school diploma or equivalent,None,Short-term on-the-job training
"Protective service workers, all other",4,Line item,133.8,145.1,11.3,8.4,NA,35.2,"$30,240 ",High school diploma or equivalent,None,Short-term on-the-job training
Food preparation & serving related occupations,1,Summary,"13,206.10","14,438.10","1,232.00",9.3,0.5,"2,469.90","$21,910 ",NA,NA,NA
Supervisors of food preparation & serving workers,2,Summary,"1,083.40","1,185.10",101.7,9.4,2.6,166.6,"$33,400 ",NA,NA,NA
Chefs & head cooks,3,Line item,146.5,160.6,14.1,9.6,6.7,20.3,"$45,950 ",High school diploma or equivalent,5 years or more,None
First-line supervisors of food preparation & serving workers,3,Line item,936.9,"1,024.50",87.6,9.3,1.9,146.3,"$31,960 ",High school diploma or equivalent,Less than 5 years,None
Cooks & food preparation workers,2,Summary,"3,274.10","3,490.30",216.2,6.6,0.7,515.7,"$23,620 ",NA,NA,NA
Cooks,3,Summary,"2,403.00","2,550.60",147.6,6.1,0.7,358,"$23,970 ",NA,NA,NA
"Cooks, fast food",4,Line item,517.6,490.5,-27.1,-5.2,NA,67.2,"$21,040 ",No formal educational credential,None,Short-term on-the-job training
"Cooks, institution & cafeteria",4,Line item,424.8,457.4,32.6,7.7,NA,64.4,"$25,860 ",No formal educational credential,None,Short-term on-the-job training
"Cooks, private household",4,Line item,25,26.3,1.4,5.5,71.8,3.7,"$38,280 ",Postsecondary nondegree award,Less than 5 years,None
