title,Hierarchy,Occupation.type,Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,Percent.self.employed..2016,Occupational.openings..2016.26.annual.average,Median.annual.wage..2017.1.,Typical.education.needed.for.entry,Work.experience.in.a.related.occupation,Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation,Level0,Level1,Level2,Level3,Level4,pathString,jobcol,percentchg.indx,percentchg.col
Biomedical engineers,3,Line item,21.3,22.8,1.5,7.2,NA,1.6,"$88,040 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Biomedical engineers,NA,Jobs/Architecture & engineering/Engineers/Biomedical engineers,#984EA3,11,#FF9200
Chemical engineers,3,Line item,32.7,35.1,2.5,7.5,1.3,2.4,"$102,160 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Chemical engineers,NA,Jobs/Architecture & engineering/Engineers/Chemical engineers,#984EA3,11,#FF9200
Civil engineers,3,Line item,303.5,335.7,32.2,10.6,3.4,25.9,"$84,770 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Civil engineers,NA,Jobs/Architecture & engineering/Engineers/Civil engineers,#984EA3,11,#FF9200
Computer hardware engineers,3,Line item,73.6,77.6,4,5.5,NA,5.1,"$115,120 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Computer hardware engineers,NA,Jobs/Architecture & engineering/Engineers/Computer hardware engineers,#984EA3,10,#FFB600
Electrical & electronics engineers,3,Summary,324.6,345.8,21.3,6.5,1.2,23.1,"$97,970 ",NA,NA,NA,Jobs,Architecture & engineering,Engineers,Electrical & electronics engineers,NA,Jobs/Architecture & engineering/Engineers/Electrical & electronics engineers,#984EA3,11,#FF9200
Electrical engineers,4,Line item,188.3,204.5,16.2,8.6,1.3,13.9,"$95,060 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Electrical & electronics engineers,Electrical engineers,Jobs/Architecture & engineering/Engineers/Electrical & electronics engineers/Electrical engineers,#984EA3,11,#FF9200
"Electronics engineers, except computer",4,Line item,136.3,141.3,5.1,3.7,1.1,9.2,"$102,180 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Electrical & electronics engineers,"Electronics engineers, except computer","Jobs/Architecture & engineering/Engineers/Electrical & electronics engineers/Electronics engineers, except computer",#984EA3,10,#FFB600
"Engineers, all other",3,Line item,132.5,141,8.5,6.4,4.3,9.5,"$97,250 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,"Engineers, all other",NA,"Jobs/Architecture & engineering/Engineers/Engineers, all other",#984EA3,11,#FF9200
Environmental engineers,3,Line item,53.8,58.3,4.5,8.3,0.4,4,"$86,800 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Environmental engineers,NA,Jobs/Architecture & engineering/Engineers/Environmental engineers,#984EA3,11,#FF9200
"Industrial engineers, including health & safety",3,Summary,283.8,311.2,27.4,9.6,0.5,21.6,"$86,090 ",NA,NA,NA,Jobs,Architecture & engineering,Engineers,"Industrial engineers, including health & safety",NA,"Jobs/Architecture & engineering/Engineers/Industrial engineers, including health & safety",#984EA3,11,#FF9200
"Health & safety engineers, except mining safety engineers & inspectors",4,Line item,25.9,28.1,2.2,8.6,0.4,1.9,"$88,510 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,"Industrial engineers, including health & safety","Health & safety engineers, except mining safety engineers & inspectors","Jobs/Architecture & engineering/Engineers/Industrial engineers, including health & safety/Health & safety engineers, except mining safety engineers & inspectors",#984EA3,11,#FF9200
Industrial engineers,4,Line item,257.9,283,25.1,9.7,0.5,19.7,"$85,880 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,"Industrial engineers, including health & safety",Industrial engineers,"Jobs/Architecture & engineering/Engineers/Industrial engineers, including health & safety/Industrial engineers",#984EA3,11,#FF9200
Marine engineers & naval architects,3,Line item,8.2,9.2,1,11.5,NA,0.6,"$90,970 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Marine engineers & naval architects,NA,Jobs/Architecture & engineering/Engineers/Marine engineers & naval architects,#984EA3,11,#FF9200
Materials engineers,3,Line item,27,27.5,0.4,1.6,NA,1.9,"$94,610 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Materials engineers,NA,Jobs/Architecture & engineering/Engineers/Materials engineers,#984EA3,9,#FFDB00
Mechanical engineers,3,Line item,288.8,314.1,25.3,8.8,0.5,21.2,"$85,880 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Mechanical engineers,NA,Jobs/Architecture & engineering/Engineers/Mechanical engineers,#984EA3,11,#FF9200
"Mining & geological engineers, including mining safety engineers",3,Line item,7.3,7.9,0.6,8.2,5.8,0.6,"$94,240 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,"Mining & geological engineers, including mining safety engineers",NA,"Jobs/Architecture & engineering/Engineers/Mining & geological engineers, including mining safety engineers",#984EA3,11,#FF9200
Nuclear engineers,3,Line item,17.7,18.4,0.7,3.8,NA,1.4,"$105,810 ",Bachelor's degree,None,None,Jobs,Architecture & engineering,Engineers,Nuclear engineers,NA,Jobs/Architecture & engineering/Engineers/Nuclear engineers,#984EA3,10,#FFB600
