title,Hierarchy,Occupation.type,Employment.2016,Employment.2026,ChgEmploy.2016to26.Num,ChgEmploy.2016to26.Perc,Percent.self.employed..2016,Occupational.openings..2016.26.annual.average,Median.annual.wage..2017.1.,Typical.education.needed.for.entry,Work.experience.in.a.related.occupation,Typical.on.the.job.training.needed.to.attain.competency.in.the.occupation,Level0,Level1,Level2,Level3,Level4,pathString,jobcol,percentchg.indx,percentchg.col
Line installers & repairers,3,Summary,227,245.3,18.4,8.1,3.1,22.4,"$64,190 ",NA,NA,NA,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc",Line installers & repairers,NA,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Line installers & repairers",#FDC086,11,#FF9200
Electrical power-line installers & repairers,4,Line item,120.9,137.7,16.8,13.9,1.7,11.7,"$69,380 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc",Line installers & repairers,Electrical power-line installers & repairers,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Line installers & repairers/Electrical power-line installers & repairers",#FDC086,12,#FF6D00
Telecommunications line installers & repairers,4,Line item,106.1,107.7,1.6,1.5,4.7,10.7,"$55,060 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc",Line installers & repairers,Telecommunications line installers & repairers,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Line installers & repairers/Telecommunications line installers & repairers",#FDC086,9,#FFDB00
"Maintenance & repair workers, general",3,Line item,"1,432.60","1,545.10",112.5,7.9,1,154.7,"$37,670 ",High school diploma or equivalent,None,Moderate-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc","Maintenance & repair workers, general",NA,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Maintenance & repair workers, general",#FDC086,11,#FF9200
"Miscellaneous installation, maintenance, etc",3,Summary,401.4,425.8,24.5,6.1,10.8,45.6,"$35,200 ",NA,NA,NA,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc","Miscellaneous installation, maintenance, etc",NA,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Miscellaneous installation, maintenance, etc",#FDC086,10,#FFB600
"Coin, vending, etc",4,Line item,36.6,32,-4.6,-12.5,7,3.3,"$33,690 ",High school diploma or equivalent,None,Short-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc","Miscellaneous installation, maintenance, etc","Coin, vending, etc","Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Miscellaneous installation, maintenance, etc/Coin, vending, etc",#FDC086,3,#0049FF
Commercial divers,4,Line item,4.1,4.5,0.4,10.8,17.4,0.4,"$47,210 ",Postsecondary nondegree award,None,Moderate-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc","Miscellaneous installation, maintenance, etc",Commercial divers,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Miscellaneous installation, maintenance, etc/Commercial divers",#FDC086,11,#FF9200
"Fabric menders, except garment",4,Line item,0.7,0.6,0,-7.3,17.5,0.1,"$28,640 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc","Miscellaneous installation, maintenance, etc","Fabric menders, except garment","Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Miscellaneous installation, maintenance, etc/Fabric menders, except garment",#FDC086,4,#006DFF
"Helpers--installation, maintenance, etc",4,Line item,120.2,133.5,13.3,11.1,0.3,17,"$28,490 ",High school diploma or equivalent,None,Short-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc","Miscellaneous installation, maintenance, etc","Helpers--installation, maintenance, etc","Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Miscellaneous installation, maintenance, etc/Helpers--installation, maintenance, etc",#FDC086,11,#FF9200
"Installation, maintenance, etc",4,Line item,175.8,190.3,14.5,8.2,15.6,18.7,"$38,800 ",High school diploma or equivalent,None,Moderate-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc","Miscellaneous installation, maintenance, etc","Installation, maintenance, etc","Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Miscellaneous installation, maintenance, etc/Installation, maintenance, etc",#FDC086,11,#FF9200
Locksmiths & safe repairers,4,Line item,28.7,27.8,-1,-3.3,33,2.5,"$40,680 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc","Miscellaneous installation, maintenance, etc",Locksmiths & safe repairers,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Miscellaneous installation, maintenance, etc/Locksmiths & safe repairers",#FDC086,5,#0092FF
Manufactured building & mobile home installers,4,Line item,4.3,4,-0.4,-8.9,26.1,0.3,"$30,960 ",High school diploma or equivalent,None,Short-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc","Miscellaneous installation, maintenance, etc",Manufactured building & mobile home installers,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Miscellaneous installation, maintenance, etc/Manufactured building & mobile home installers",#FDC086,4,#006DFF
Riggers,4,Line item,20.9,22.9,2.1,9.8,NA,2.3,"$48,580 ",High school diploma or equivalent,None,Moderate-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc","Miscellaneous installation, maintenance, etc",Riggers,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Miscellaneous installation, maintenance, etc/Riggers",#FDC086,11,#FF9200
Signal & track switch repairers,4,Line item,10,10.2,0.1,1.3,14.6,1,"$68,400 ",High school diploma or equivalent,None,Moderate-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc","Miscellaneous installation, maintenance, etc",Signal & track switch repairers,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Miscellaneous installation, maintenance, etc/Signal & track switch repairers",#FDC086,9,#FFDB00
Precision instrument & equipment repairers,3,Summary,73.8,75.7,2,2.7,7.2,6.6,"$47,920 ",NA,NA,NA,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc",Precision instrument & equipment repairers,NA,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Precision instrument & equipment repairers",#FDC086,9,#FFDB00
Camera & photographic equipment repairers,4,Line item,4,4.1,0.1,2.3,7.2,0.4,"$40,770 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc",Precision instrument & equipment repairers,Camera & photographic equipment repairers,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Precision instrument & equipment repairers/Camera & photographic equipment repairers",#FDC086,9,#FFDB00
Medical equipment repairers,4,Line item,47.1,49.1,2,4.3,7.4,4.3,"$48,820 ",Associate's degree,None,Moderate-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc",Precision instrument & equipment repairers,Medical equipment repairers,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Precision instrument & equipment repairers/Medical equipment repairers",#FDC086,10,#FFB600
Musical instrument repairers & tuners,4,Line item,8.3,8.4,0.1,1.2,7.9,0.7,"$36,530 ",High school diploma or equivalent,None,Apprenticeship,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc",Precision instrument & equipment repairers,Musical instrument repairers & tuners,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Precision instrument & equipment repairers/Musical instrument repairers & tuners",#FDC086,9,#FFDB00
"Precision instrument & equipment repairers, all other",4,Line item,12.6,12.8,0.3,2.1,5.8,1.1,"$56,940 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc",Precision instrument & equipment repairers,"Precision instrument & equipment repairers, all other","Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Precision instrument & equipment repairers/Precision instrument & equipment repairers, all other",#FDC086,9,#FFDB00
Watch repairers,4,Line item,1.8,1.2,-0.5,-29.7,7.7,0.1,"$35,770 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc",Precision instrument & equipment repairers,Watch repairers,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Precision instrument & equipment repairers/Watch repairers",#FDC086,2,#0024FF
Wind turbine service technicians,3,Line item,5.8,11.3,5.6,96.3,16.9,1.4,"$53,880 ",Postsecondary nondegree award,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Other installation, maintenance, etc",Wind turbine service technicians,NA,"Jobs/Installation, maintenance, etc/Other installation, maintenance, etc/Wind turbine service technicians",#FDC086,14,#FF2400
"Supervisors of installation, maintenance, etc",2,Summary,462.2,495,32.8,7.1,0.1,43.4,"$64,780 ",NA,NA,NA,Jobs,"Installation, maintenance, etc","Supervisors of installation, maintenance, etc",NA,NA,"Jobs/Installation, maintenance, etc/Supervisors of installation, maintenance, etc",#FDC086,11,#FF9200
"First-line supervisors of mechanics, installers, etc",3,Line item,462.2,495,32.8,7.1,0.1,43.4,"$64,780 ",High school diploma or equivalent,Less than 5 years,None,Jobs,"Installation, maintenance, etc","Supervisors of installation, maintenance, etc","First-line supervisors of mechanics, installers, etc",NA,"Jobs/Installation, maintenance, etc/Supervisors of installation, maintenance, etc/First-line supervisors of mechanics, installers, etc",#FDC086,11,#FF9200
"Vehicle & mobile equipment mechanics, installers, etc",2,Summary,"1,750.20","1,866.20",116,6.6,8.7,180.4,"$42,130 ",NA,NA,NA,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",NA,NA,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc",#FDC086,11,#FF9200
Aircraft mechanics & service technicians,3,Line item,132,138.5,6.4,4.9,0.7,10.9,"$61,020 ",Postsecondary nondegree award,None,None,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Aircraft mechanics & service technicians,NA,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Aircraft mechanics & service technicians",#FDC086,10,#FFB600
Automotive technicians & repairers,3,Summary,930,990.8,60.8,6.5,12.3,94.8,"$39,780 ",NA,NA,NA,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Automotive technicians & repairers,NA,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Automotive technicians & repairers",#FDC086,11,#FF9200
Automotive body & related repairers,4,Line item,160.4,174.1,13.6,8.5,9.3,17.1,"$41,970 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Automotive technicians & repairers,Automotive body & related repairers,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Automotive technicians & repairers/Automotive body & related repairers",#FDC086,11,#FF9200
Automotive glass installers & repairers,4,Line item,19.6,20.9,1.3,6.5,3.8,2.1,"$34,170 ",High school diploma or equivalent,None,Moderate-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Automotive technicians & repairers,Automotive glass installers & repairers,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Automotive technicians & repairers/Automotive glass installers & repairers",#FDC086,11,#FF9200
Automotive service technicians & mechanics,4,Line item,749.9,795.8,45.9,6.1,13.1,75.6,"$39,550 ",Postsecondary nondegree award,None,Short-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Automotive technicians & repairers,Automotive service technicians & mechanics,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Automotive technicians & repairers/Automotive service technicians & mechanics",#FDC086,10,#FFB600
Bus & truck mechanics & diesel engine specialists,3,Line item,278.8,304.6,25.8,9.2,6.9,28.2,"$46,360 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Bus & truck mechanics & diesel engine specialists,NA,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Bus & truck mechanics & diesel engine specialists",#FDC086,11,#FF9200
Heavy vehicle & mobile equipment service technicians & mechanics,3,Summary,192.1,207,14.9,7.8,2.8,20.3,"$49,440 ",NA,NA,NA,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Heavy vehicle & mobile equipment service technicians & mechanics,NA,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Heavy vehicle & mobile equipment service technicians & mechanics",#FDC086,11,#FF9200
Farm equipment mechanics & service technicians,4,Line item,42.5,45.7,3.2,7.6,2.7,4.5,"$39,340 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Heavy vehicle & mobile equipment service technicians & mechanics,Farm equipment mechanics & service technicians,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Heavy vehicle & mobile equipment service technicians & mechanics/Farm equipment mechanics & service technicians",#FDC086,11,#FF9200
"Mobile heavy equipment mechanics, except engines",4,Line item,127.4,137.9,10.5,8.3,2.8,13.5,"$50,860 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Heavy vehicle & mobile equipment service technicians & mechanics,"Mobile heavy equipment mechanics, except engines","Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Heavy vehicle & mobile equipment service technicians & mechanics/Mobile heavy equipment mechanics, except engines",#FDC086,11,#FF9200
Rail car repairers,4,Line item,22.3,23.4,1.2,5.2,2.9,2.3,"$57,460 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Heavy vehicle & mobile equipment service technicians & mechanics,Rail car repairers,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Heavy vehicle & mobile equipment service technicians & mechanics/Rail car repairers",#FDC086,10,#FFB600
"Miscellaneous vehicle & mobile equipment mechanics, installers, etc",3,Summary,138,142.3,4.3,3.1,1.8,17.6,"$27,690 ",NA,NA,NA,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc","Miscellaneous vehicle & mobile equipment mechanics, installers, etc",NA,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Miscellaneous vehicle & mobile equipment mechanics, installers, etc",#FDC086,9,#FFDB00
Bicycle repairers,4,Line item,12.4,16.1,3.6,29.3,1.9,2.1,"$28,390 ",High school diploma or equivalent,None,Moderate-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc","Miscellaneous vehicle & mobile equipment mechanics, installers, etc",Bicycle repairers,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Miscellaneous vehicle & mobile equipment mechanics, installers, etc/Bicycle repairers",#FDC086,13,#FF4900
Recreational vehicle service technicians,4,Line item,13.8,13.7,-0.2,-1.1,1.8,1.7,"$37,200 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc","Miscellaneous vehicle & mobile equipment mechanics, installers, etc",Recreational vehicle service technicians,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Miscellaneous vehicle & mobile equipment mechanics, installers, etc/Recreational vehicle service technicians",#FDC086,6,#00B6FF
Tire repairers & changers,4,Line item,111.7,112.5,0.8,0.7,1.8,13.8,"$26,710 ",High school diploma or equivalent,None,Short-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc","Miscellaneous vehicle & mobile equipment mechanics, installers, etc",Tire repairers & changers,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Miscellaneous vehicle & mobile equipment mechanics, installers, etc/Tire repairers & changers",#FDC086,8,#00FFFF
Small engine mechanics,3,Summary,79.3,83.1,3.8,4.8,12.2,8.7,"$35,990 ",NA,NA,NA,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Small engine mechanics,NA,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Small engine mechanics",#FDC086,10,#FFB600
Motorboat mechanics & service technicians,4,Line item,23.4,23.3,-0.1,-0.5,12.2,2.4,"$38,960 ",High school diploma or equivalent,None,Long-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Small engine mechanics,Motorboat mechanics & service technicians,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Small engine mechanics/Motorboat mechanics & service technicians",#FDC086,7,#00DBFF
Motorcycle mechanics,4,Line item,18.3,18.4,0,0.3,12.4,1.9,"$35,680 ",Postsecondary nondegree award,None,Short-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Small engine mechanics,Motorcycle mechanics,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Small engine mechanics/Motorcycle mechanics",#FDC086,8,#00FFFF
Outdoor power equipment & other small engine mechanics,4,Line item,37.6,41.5,3.9,10.3,12,4.4,"$34,370 ",High school diploma or equivalent,None,Moderate-term on-the-job training,Jobs,"Installation, maintenance, etc","Vehicle & mobile equipment mechanics, installers, etc",Small engine mechanics,Outdoor power equipment & other small engine mechanics,"Jobs/Installation, maintenance, etc/Vehicle & mobile equipment mechanics, installers, etc/Small engine mechanics/Outdoor power equipment & other small engine mechanics",#FDC086,11,#FF9200
Legal,1,Summary,"1,283.30","1,399.50",116.2,9.1,14.4,90.8,"$80,080 ",NA,NA,NA,Jobs,Legal,NA,NA,NA,Jobs/Legal,#A65628,11,#FF9200
"Lawyers, judges, etc",2,Summary,858.2,926.9,68.7,8,19,44,"$116,210 ",NA,NA,NA,Jobs,Legal,"Lawyers, judges, etc",NA,NA,"Jobs/Legal/Lawyers, judges, etc",#A65628,11,#FF9200
"Judges, magistrates, etc",3,Summary,51.7,54.7,3,5.8,2.4,2.5,"$105,840 ",NA,NA,NA,Jobs,Legal,"Lawyers, judges, etc","Judges, magistrates, etc",NA,"Jobs/Legal/Lawyers, judges, etc/Judges, magistrates, etc",#A65628,10,#FFB600
"Administrative law judges, adjudicators, etc",4,Line item,15.4,16,0.6,4,NA,0.7,"$94,790 ",Doctoral or professional degree,5 years or more,Short-term on-the-job training,Jobs,Legal,"Lawyers, judges, etc","Judges, magistrates, etc","Administrative law judges, adjudicators, etc","Jobs/Legal/Lawyers, judges, etc/Judges, magistrates, etc/Administrative law judges, adjudicators, etc",#A65628,10,#FFB600
"Arbitrators, mediators, etc",4,Line item,7.8,8.7,0.8,10.4,15.5,0.4,"$60,670 ",Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,Jobs,Legal,"Lawyers, judges, etc","Judges, magistrates, etc","Arbitrators, mediators, etc","Jobs/Legal/Lawyers, judges, etc/Judges, magistrates, etc/Arbitrators, mediators, etc",#A65628,11,#FF9200
"Judges, magistrate judges, etc",4,Line item,28.4,30,1.6,5.6,NA,1.4,"$133,840 ",Doctoral or professional degree,5 years or more,Short-term on-the-job training,Jobs,Legal,"Lawyers, judges, etc","Judges, magistrates, etc","Judges, magistrate judges, etc","Jobs/Legal/Lawyers, judges, etc/Judges, magistrates, etc/Judges, magistrate judges, etc",#A65628,10,#FFB600
Lawyers & judicial law clerks,3,Summary,806.5,872.3,65.7,8.2,20.1,41.5,"$117,020 ",NA,NA,NA,Jobs,Legal,"Lawyers, judges, etc",Lawyers & judicial law clerks,NA,"Jobs/Legal/Lawyers, judges, etc/Lawyers & judicial law clerks",#A65628,11,#FF9200
Judicial law clerks,4,Line item,14,14.8,0.8,5.5,NA,0.8,"$51,330 ",Doctoral or professional degree,None,None,Jobs,Legal,"Lawyers, judges, etc",Lawyers & judicial law clerks,Judicial law clerks,"Jobs/Legal/Lawyers, judges, etc/Lawyers & judicial law clerks/Judicial law clerks",#A65628,10,#FFB600
Lawyers,4,Line item,792.5,857.5,65,8.2,20.4,40.7,"$119,250 ",Doctoral or professional degree,None,None,Jobs,Legal,"Lawyers, judges, etc",Lawyers & judicial law clerks,Lawyers,"Jobs/Legal/Lawyers, judges, etc/Lawyers & judicial law clerks/Lawyers",#A65628,11,#FF9200
Legal support workers,2,Summary,425.1,472.6,47.5,11.2,5.2,46.8,"$50,630 ",NA,NA,NA,Jobs,Legal,Legal support workers,NA,NA,Jobs/Legal/Legal support workers,#A65628,11,#FF9200
Miscellaneous legal support workers,3,Summary,139.5,145.1,5.6,4,12.1,12.1,"$51,290 ",NA,NA,NA,Jobs,Legal,Legal support workers,Miscellaneous legal support workers,NA,Jobs/Legal/Legal support workers/Miscellaneous legal support workers,#A65628,10,#FFB600
Court reporters,4,Line item,19.6,20.3,0.7,3.4,7,1.7,"$55,120 ",Postsecondary nondegree award,None,Short-term on-the-job training,Jobs,Legal,Legal support workers,Miscellaneous legal support workers,Court reporters,Jobs/Legal/Legal support workers/Miscellaneous legal support workers/Court reporters,#A65628,10,#FFB600
"Legal support workers, all other",4,Line item,50.9,52.8,1.9,3.8,7.5,4.4,"$56,120 ",Associate's degree,None,None,Jobs,Legal,Legal support workers,Miscellaneous legal support workers,"Legal support workers, all other","Jobs/Legal/Legal support workers/Miscellaneous legal support workers/Legal support workers, all other",#A65628,10,#FFB600
"Title examiners, abstractors, etc",4,Line item,69,72,3,4.4,17,6,"$46,850 ",High school diploma or equivalent,None,Moderate-term on-the-job training,Jobs,Legal,Legal support workers,Miscellaneous legal support workers,"Title examiners, abstractors, etc","Jobs/Legal/Legal support workers/Miscellaneous legal support workers/Title examiners, abstractors, etc",#A65628,10,#FFB600
Paralegals & legal assistants,3,Line item,285.6,327.4,41.8,14.6,1.9,34.7,"$50,410 ",Associate's degree,None,None,Jobs,Legal,Legal support workers,Paralegals & legal assistants,NA,Jobs/Legal/Legal support workers/Paralegals & legal assistants,#A65628,12,#FF6D00
"Life, physical, etc",1,Summary,"1,299.50","1,424.30",124.8,9.6,4.9,132.8,"$64,510 ",NA,NA,NA,Jobs,"Life, physical, etc",NA,NA,NA,"Jobs/Life, physical, etc",#FF7F00,11,#FF9200
Life scientists,2,Summary,325.4,358,32.6,10,2.6,32.4,"$73,700 ",NA,NA,NA,Jobs,"Life, physical, etc",Life scientists,NA,NA,"Jobs/Life, physical, etc/Life scientists",#FF7F00,11,#FF9200
Agricultural & food scientists,3,Summary,43,46.1,3.1,7.2,6.9,4.7,"$62,910 ",NA,NA,NA,Jobs,"Life, physical, etc",Life scientists,Agricultural & food scientists,NA,"Jobs/Life, physical, etc/Life scientists/Agricultural & food scientists",#FF7F00,11,#FF9200
Animal scientists,4,Line item,6.1,6.4,0.4,5.9,3.2,0.7,"$60,760 ",Bachelor's degree,None,None,Jobs,"Life, physical, etc",Life scientists,Agricultural & food scientists,Animal scientists,"Jobs/Life, physical, etc/Life scientists/Agricultural & food scientists/Animal scientists",#FF7F00,10,#FFB600
Food scientists & technologists,4,Line item,17,18,1,5.7,9.6,1.8,"$63,660 ",Bachelor's degree,None,None,Jobs,"Life, physical, etc",Life scientists,Agricultural & food scientists,Food scientists & technologists,"Jobs/Life, physical, etc/Life scientists/Agricultural & food scientists/Food scientists & technologists",#FF7F00,10,#FFB600
Soil & plant scientists,4,Line item,19.9,21.7,1.8,8.8,5.8,2.2,"$62,430 ",Bachelor's degree,None,None,Jobs,"Life, physical, etc",Life scientists,Agricultural & food scientists,Soil & plant scientists,"Jobs/Life, physical, etc/Life scientists/Agricultural & food scientists/Soil & plant scientists",#FF7F00,11,#FF9200
Biological scientists,3,Summary,112.8,122.9,10.1,8.9,2,11,"$74,960 ",NA,NA,NA,Jobs,"Life, physical, etc",Life scientists,Biological scientists,NA,"Jobs/Life, physical, etc/Life scientists/Biological scientists",#FF7F00,11,#FF9200
Biochemists & biophysicists,4,Line item,31.5,35.1,3.6,11.5,3.1,3.2,"$91,190 ",Doctoral or professional degree,None,None,Jobs,"Life, physical, etc",Life scientists,Biological scientists,Biochemists & biophysicists,"Jobs/Life, physical, etc/Life scientists/Biological scientists/Biochemists & biophysicists",#FF7F00,11,#FF9200
"Biological scientists, all other",4,Line item,38.7,41.8,3.1,8,1.3,3.7,"$76,690 ",Bachelor's degree,None,None,Jobs,"Life, physical, etc",Life scientists,Biological scientists,"Biological scientists, all other","Jobs/Life, physical, etc/Life scientists/Biological scientists/Biological scientists, all other",#FF7F00,11,#FF9200
Microbiologists,4,Line item,23.2,25.1,1.9,8.2,2.5,2.2,"$69,960 ",Bachelor's degree,None,None,Jobs,"Life, physical, etc",Life scientists,Biological scientists,Microbiologists,"Jobs/Life, physical, etc/Life scientists/Biological scientists/Microbiologists",#FF7F00,11,#FF9200
Zoologists & wildlife biologists,4,Line item,19.4,20.9,1.5,7.6,0.9,1.9,"$62,290 ",Bachelor's degree,None,None,Jobs,"Life, physical, etc",Life scientists,Biological scientists,Zoologists & wildlife biologists,"Jobs/Life, physical, etc/Life scientists/Biological scientists/Zoologists & wildlife biologists",#FF7F00,11,#FF9200
Conservation scientists & foresters,3,Summary,34.6,36.6,2,5.8,2,3.1,"$60,970 ",NA,NA,NA,Jobs,"Life, physical, etc",Life scientists,Conservation scientists & foresters,NA,"Jobs/Life, physical, etc/Life scientists/Conservation scientists & foresters",#FF7F00,10,#FFB600
Conservation scientists,4,Line item,22.3,23.7,1.4,6.3,1.9,2,"$61,480 ",Bachelor's degree,None,None,Jobs,"Life, physical, etc",Life scientists,Conservation scientists & foresters,Conservation scientists,"Jobs/Life, physical, etc/Life scientists/Conservation scientists & foresters/Conservation scientists",#FF7F00,11,#FF9200
Foresters,4,Line item,12.3,12.9,0.6,5,2.2,1.1,"$60,120 ",Bachelor's degree,None,None,Jobs,"Life, physical, etc",Life scientists,Conservation scientists & foresters,Foresters,"Jobs/Life, physical, etc/Life scientists/Conservation scientists & foresters/Foresters",#FF7F00,10,#FFB600
"Life scientists, all other",3,Line item,8.9,9.7,0.8,9.2,1.5,0.8,"$74,540 ",Bachelor's degree,None,None,Jobs,"Life, physical, etc",Life scientists,"Life scientists, all other",NA,"Jobs/Life, physical, etc/Life scientists/Life scientists, all other",#FF7F00,11,#FF9200
Medical scientists,3,Summary,126.1,142.7,16.6,13.2,2,12.7,"$80,970 ",NA,NA,NA,Jobs,"Life, physical, etc",Life scientists,Medical scientists,NA,"Jobs/Life, physical, etc/Life scientists/Medical scientists",#FF7F00,12,#FF6D00
Epidemiologists,4,Line item,6.1,6.6,0.5,8.8,1,0.6,"$69,660 ",Master's degree,None,None,Jobs,"Life, physical, etc",Life scientists,Medical scientists,Epidemiologists,"Jobs/Life, physical, etc/Life scientists/Medical scientists/Epidemiologists",#FF7F00,11,#FF9200
"Medical scientists, except epidemiologists",4,Line item,120,136.1,16.1,13.4,2.1,12.1,"$82,090 ",Doctoral or professional degree,None,None,Jobs,"Life, physical, etc",Life scientists,Medical scientists,"Medical scientists, except epidemiologists","Jobs/Life, physical, etc/Life scientists/Medical scientists/Medical scientists, except epidemiologists",#FF7F00,12,#FF6D00
"Life, physical, etc",2,Summary,392.1,424.3,32.2,8.2,1,45.9,"$45,780 ",NA,NA,NA,Jobs,"Life, physical, etc","Life, physical, etc",NA,NA,"Jobs/Life, physical, etc/Life, physical, etc",#FF7F00,11,#FF9200
